Ambience   Services   Food   Cleanliness  
1          2          3          4
5          5          5          5

3          4          5          3
3          4          5          6
2          2          2          2
1          1          1          1
2          3          4          5
1          2          3          4
2          3          4          5
1          2          3          4
1          2          3          4
1          2          3          4
1          2          3          4
1          3          4          5
1          2          2          3
1          2          3          4
1          2          3          4
1          1          1          1

5          5          5          5          
1          2          3          4
2          3          4          4
5          5          5          5
1          1          1          1
4          3          4          3
5          1          1          1
5          5          5          5
1          1          1          1
1          1          1          1
